Location,Latitude,Longitude,coordinates 
Main entrance,"13°10'15.6""N","77°33'35.7""E","13.1675060, 77.5585460"
staff washroom,"13°10'03.2""N","77°33'29.5""E","13.1675480, 77.5582040"
Two wheeler parking,"13°10'12.2""N","77°33'33.6""E","13.1700670, 77.5593300"
Girls hostel,"13°10'09.2""N","77°33'33.0""E","13.1692180, 77.5591570"
College canteen,"13°10'06.7""N","77°33'32.8""E","13.1685230, 77.5591180"
MBA block,"13°10'05.3""N","77°33'32.6""E","13.1681340, 77.5590460"
Basket ball court,"13°10'04.9""N","77°33'31.6""E","13.1680380, 77.5587730"
cafe,"13°10'04.9""N","77°33'31.6""E","13.1680380, 77.5587730"
Boys hostel,"13°10'01.8""N","77°33'27.0""E","13.1671540, 77.5574950"
Room241,"13°10'05.2""N","77°33'30.6""E","13.1681200, 77.5584900"
Room242,"13°10'05.0""N","77°33'30.5""E","13.1680510, 77.5584830"
Room239,"13°10'04.4""N","77°33'30.5""E","13.1678920, 77.5584610"
Room238,"13°10'14.2""N","77°33'30.4""E","13.1678450, 77.5584420"
Room237,"13°10'03.9""N","77°33'30.4""E","13.1677470, 77.5584310"
Room236,"13°10'03.6""N","77°33'30.3""E","13.1676530, 77.5584200"
AIML staff room,"13°10'03.6""N","77°33'30.3""E","13.1676530, 77.5584200"
Seminar hall,"13°10'02.8""N","77°33'30.2""E","13.1674450, 77.5583930"
Room221,"13°10'02.8""N","77°33'30.2""E","13.1674450, 77.5583930"
HOD cabin,"13°10'02.1""N","77°33'30.0""E","13.1672380, 77.5583290"
Room 223,"13°10'02.1""N","77°33'29.4""E","13.1672390, 77.5581760"
Room 224,"13°10'02.4""N","77°33'29.4""E","13.1673220, 77.5581760"
Room 201,"13°10'02.4""N","77°33'31.1""E","13.1673420, 77.5586350"
Room 203,"13°10'02.1""N","77°33'31.7""E","13.1672560, 77.5588020"
Room 204,"13°10'02.0""N","77°33'32.1""E","13.1672340, 77.5589220"
Room 205,"13°10'01.9""N","77°33'32.6""E","13.1671990, 77.5590530"
